PropertyID,Street,City,Zipcode,SqFootage,NumOfBeds,NumofBaths,ApartmentComplex,Price,Parking,DistanceToRollins,URL,Image
38,4708 Olive Branch Rd,Orlando,32811,718,1,1,Affinity at Millenia,1129,Y,22,https://www.zillow.com/b/affinity-at-millenia-orlando-fl-5XhxyF/,pictures/Affinity2.jpg
39,2333 Lake Debra Rd,Orlando,32835,809,1,1,Harbortown,1150,Y,26,https://www.zillow.com/b/harbortown-orlando-fl-5Xhxvv/,pictures/Harbortown.jpg
40,545 Nantucket Ct,Altamonte Springs,32714,1071,2,2,Boca Vista Apartments,1180,Y,22,https://www.zillow.com/b/boca-vista-apartments-altamonte-springs-fl-5Xhxw8/,pictures/BocaVista.jpg
41,407 Alafaya Woods Blvd,Oviedo,32765,1100,2,2,Alafaya Woods,1284,Y,25,https://www.zillow.com/b/alafaya-woods-oviedo-fl-5XhxwY/,pictures/Alafaya.jpg
42,407 Alafaya Woods Blvd,Oviedo,32765,1100,2,2,Alafaya Woods,1369,Y,25,https://www.zillow.com/b/alafaya-woods-oviedo-fl-5XhxwY/,pictures/Alafaya2.jpg
43,2980 Grandeville Cir,Oviedo,32765,895,1,1,Grandeville at River Place,1195,Y,25,https://www.zillow.com/b/grandeville-at-river-place-oviedo-fl-5hJ33v/,pictures/Grandeville.jpg
44,2980 Grandeville Cir ,Oviedo,32765,1220,2,2,Grandeville at River Place,1350,Y,25,https://www.zillow.com/b/grandeville-at-river-place-oviedo-fl-5hJ33v/,pictures/Grandeville2.jpg
45,1700 Integra Land Way,Winter Springs,32708,857,1,1,Integra 360,1286,Y,20,https://www.zillow.com/b/integra-360-winter-springs-fl-BK9y8C/,pictures/Integra.jpg
46,1700 Integra Land Way,Winter Springs,32708,1106,2,2,Integra 360,1480,Y,20,https://www.zillow.com/b/integra-360-winter-springs-fl-BK9y8C/,pictures/Integra2.jpg
47,940 City Plaza Way,Oviedo,32765,813,1,1,Park Place Apartments,1214,Y,22,https://www.zillow.com/b/park-place-apartments-oviedo-fl-5gq36m/,pictures/ParkPlace.jpg
48,940 City Plaza Way,Oviedo,32765,1160,2,2,Park Place Apartments,1429,Y,22,https://www.zillow.com/b/park-place-apartments-oviedo-fl-5gq36m/,pictures/ParkPlace2.jpg
49,881 W Warren Ave,Longwood,32750,1143,2,2,Alta Longwood,1640,Y,19,https://www.zillow.com/b/alta-longwood-longwood-fl-9Q6XzF/,pictures/AltaLongwood.jpg
